64,4.3352007866e-02,1.4210045338e-03
64,4.7766710222e+00,1.4543255100e+02
128,7.5846999884e-02,1.5600025654e-03
128,8.3205499947e+00,1.4512206000e+02
200,1.3922700286e-01,1.4149844646e-03
200,1.1880054981e+01,1.4499878103e+02
256,1.4142701030e-01,1.5130043030e-03
256,1.4958518028e+01,1.44851699e+02
512,3.2268100977e-01,1.3749897480e-03
512,2.8568048000e+01,1.4457879600e+02
600,3.8440099359e-01,1.6930103302e-03
600,3.3205327988e+01,1.4479016402e+02
800,4.3296000361e-01,1.5369951725e-03
800,4.3466803998e+01,1.4446019202e+02
1024,5.6651499867e-01,1.4590024948e-03
1024,5.5550751001e+01,1.4433080900e+02
2000,1.0901329815e+00,1.4640092850e-03
2000,1.0668176800e+02,1.4430297998e+02
3000,1.6373429894e+00,1.5120208263e-03
3000,1.5831782299e+02,1.4430939502e+02
4096,2.2435210049e+00,1.3929903507e-03
4096,2.1517650002e+02,1.4423796999e+02
6000,3.1747640073e+00,1.4590024948e-03
6000,3.1392614600e+02,1.4428594798e+02
7000,3.5908319950e+00,1.4060139656e-03
7000,3.6602903500e+02,1.4424139500e+02
10000,5.2227880061e+00,1.4570057392e-03
10000,5.2179809099e+02,1.4307028902e+02
50000,2.5371327996e+01,1.4300048351e-03
50000,2.5937488760e+03,1.4339286798e+02
100000,5.0607759982e+01,1.3909935951e-03
100000,5.2598916620e+03,1.4439040098e+02
